"owner_id","owner_tag","location_count","valid_location_count","analysis_status","approximation_status","approximation_strategy","approximation_accepted","nobles_raw_deviation","nobles_approx_deviation","clergy_raw_deviation","clergy_approx_deviation","burghers_raw_deviation","burghers_approx_deviation","lower_raw_deviation","lower_approx_deviation"
"1886","BHL","1","1","analyzed","gate_rejected","raw_fallback","False","0.02614","0.02614","-0.00703","-0.00703","0.00406","0.00406","-0.02317","-0.02317"
"2124","BHM","2","2","analyzed","gate_rejected","raw_fallback","False","0.03237","0.03237","-0.00707","-0.00707","0.00000","0.00000","-0.02531","-0.02531"
"258","BHP","11","10","analyzed","feasible","balanced_l2","True","-1.98505","-0.12089","0.68860","0.19411","0.08071","0.00000","1.21557","-0.07322"
"42","BHT","3","3","analyzed","gate_rejected","raw_fallback","False","0.06764","0.06764","-0.01115","-0.01115","0.00578","0.00578","-0.06228","-0.06228"
"383","BIA","10","10","analyzed","gate_rejected","raw_fallback","False","-0.25737","-0.25737","0.00576","0.00576","0.08598","0.08598","0.16557","0.16557"
"2205","BIB","1","1","analyzed","gate_rejected","raw_fallback","False","0.26482","0.26482","-0.08434","-0.08434","-0.00044","-0.00044","-0.18005","-0.18005"
"241","BID","4","4","analyzed","feasible","minimax_ratio","True","0.09815","0.09684","-0.29759","-0.29362","0.37226","0.36184","-0.17287","-0.16506"
"1414","BIM","1","1","analyzed","gate_rejected","raw_fallback","False","0.01327","0.01327","-0.00460","-0.00460","0.00000","0.00000","-0.00867","-0.00867"
"43","BIN","2","2","analyzed","gate_rejected","raw_fallback","False","0.11216","0.11216","0.02915","0.02915","0.00295","0.00295","-0.14429","-0.14429"
"239","BIO","4","4","analyzed","gate_rejected","raw_fallback","False","0.14409","0.14409","-0.06951","-0.06951","0.00000","0.00000","-0.07460","-0.07460"
"925","BIR","1","1","analyzed","gate_rejected","raw_fallback","False","0.03464","0.03464","-0.01160","-0.01160","0.00000","0.00000","-0.02304","-0.02304"
"44","BIT","2","2","analyzed","gate_rejected","raw_fallback","False","0.06940","0.06940","-0.03013","-0.03013","0.00000","0.00000","-0.03929","-0.03929"
"837","BJG","1","1","analyzed","gate_rejected","raw_fallback","False","0.00272","0.00272","-0.00053","-0.00053","0.00000","0.00000","-0.00218","-0.00218"
"1028","BKH","18","7","analyzed","feasible","improvement_l2","True","-0.70198","-0.27536","0.03410","-0.00758","0.37317","-0.00085","0.29465","0.28378"
"1135","BKZ","4","3","analyzed","feasible","balanced_l2","True","0.11996","0.10569","-0.05402","-0.05108","-0.00370","-0.00101","-0.06227","-0.05360"
"1918","BLA","9","9","analyzed","gate_rejected","raw_fallback","False","0.10015","0.10015","-0.04682","-0.04682","0.00000","0.00000","-0.05338","-0.05338"
"1881","BLB","1","1","analyzed","gate_rejected","raw_fallback","False","0.09666","0.09666","-0.02016","-0.02016","0.00000","0.00000","-0.07651","-0.07651"
"384","BLD","9","9","analyzed","feasible","improvement_l2","True","-0.11032","-0.00603","0.04506","0.00801","0.04657","-0.00076","0.01863","-0.00122"
"1221","BLE","3","3","analyzed","gate_rejected","raw_fallback","False","0.03264","0.03264","-0.02620","-0.02620","0.00000","0.00000","-0.00644","-0.00644"
"1457","BLG","3","3","analyzed","gate_rejected","raw_fallback","False","1.42434","1.42434","-0.62919","-0.62919","0.90595","0.90595","-1.70121","-1.70121"
"1366","BLI","3","3","analyzed","gate_rejected","raw_fallback","False","0.64845","0.64845","0.12592","0.12592","0.03458","0.03458","-0.80900","-0.80900"
"1565","BLL","1","1","analyzed","gate_rejected","raw_fallback","False","0.02913","0.02913","-0.01023","-0.01023","0.00000","0.00000","-0.01891","-0.01891"
"2231","BLM","1","1","analyzed","gate_rejected","raw_fallback","False","0.14054","0.14054","-0.02444","-0.02444","0.00000","0.00000","-0.11611","-0.11611"
"1392","BLN","3","3","analyzed","gate_rejected","raw_fallback","False","-0.02177","-0.02177","-0.05609","-0.05609","0.00000","0.00000","0.07786","0.07786"
"2032","BLO","23","23","analyzed","feasible","improvement_l2","True","-0.68733","-0.28664","-0.16225","-0.15934","0.00840","-0.00024","0.84110","0.44622"
"1176","BLS","5","5","analyzed","feasible","improvement_l2","True","0.69633","0.69404","-0.22746","-0.22063","0.07029","-0.00067","-0.53927","-0.47275"
"553","BMB","1","1","analyzed","gate_rejected","raw_fallback","False","0.00922","0.00922","-0.00629","-0.00629","0.00000","0.00000","-0.00294","-0.00294"
"575","BMK","1","0","no_valid_locations","","","","","","","","","","",""
"1917","BMP","10","10","analyzed","gate_rejected","raw_fallback","False","0.25177","0.25177","-0.03036","-0.03036","0.00000","0.00000","-0.22142","-0.22142"
"2282","BMR","29","29","analyzed","feasible","absolute_l2","True","-0.27864","0.08813","-0.37676","-0.37381","0.39120","0.06601","0.26414","0.21967"
"1880","BMS","1","1","analyzed","gate_rejected","raw_fallback","False","0.06762","0.06762","-0.02708","-0.02708","0.01759","0.01759","-0.05814","-0.05814"
"1342","BNA","2","2","analyzed","gate_rejected","raw_fallback","False","0.23322","0.23322","-0.09782","-0.09782","0.00860","0.00860","-0.14401","-0.14401"
"1819","BNB","2","2","analyzed","gate_rejected","raw_fallback","False","0.14304","0.14304","-0.06145","-0.06145","0.00800","0.00800","-0.08962","-0.08962"
"1328","BND","10","10","analyzed","feasible","balanced_l2","True","-0.67590","0.00000","0.22326","0.00000","0.14529","0.00000","0.30724","0.00000"
"1408","BNE","1","1","analyzed","gate_rejected","raw_fallback","False","0.01621","0.01621","0.00404","0.00404","0.00000","0.00000","-0.02026","-0.02026"
"849","BNI","1","1","analyzed","gate_rejected","raw_fallback","False","-0.00640","-0.00640","0.04248","0.04248","0.00000","0.00000","-0.03607","-0.03607"
"153","BNL","26","26","analyzed","gate_rejected","raw_fallback","False","0.69090","0.69090","0.00456","0.00456","0.00000","0.00000","-0.69550","-0.69550"
"1564","BNT","1","1","analyzed","gate_rejected","raw_fallback","False","0.47347","0.47347","-0.15994","-0.15994","0.00000","0.00000","-0.31354","-0.31354"
"218","BOD","1","1","analyzed","gate_rejected","raw_fallback","False","0.02447","0.02447","-0.00577","-0.00577","0.00000","0.00000","-0.01871","-0.01871"
"2147","BOH","45","45","analyzed","feasible","improvement_l2","True","-9.67939","-3.49401","-1.92603","-0.17258","5.40689","-0.26384","6.19798","3.93043"
"1443","BOL","2","2","analyzed","gate_rejected","raw_fallback","False","0.00857","0.00857","-0.00470","-0.00470","0.00000","0.00000","-0.00385","-0.00385"
"2261","BON","10","3","analyzed","feasible","minimax_ratio","True","0.33468","0.32993","-0.05702","-0.05447","-0.05668","-0.05623","-0.22099","-0.21923"
"2297","BOR","9","6","analyzed","gate_rejected","raw_fallback","False","0.14260","0.14260","0.09014","0.09014","0.00000","0.00000","-0.23279","-0.23279"
"212","BOS","21","16","analyzed","feasible","balanced_l2","True","-0.83218","-0.00935","0.24156","-0.04570","-0.01359","-0.00001","0.60408","0.05505"
"1150","BOU","8","8","analyzed","feasible","target_l2","True","0.47980","0.38820","-0.09202","-0.00117","0.20549","-0.00096","-0.59334","-0.38607"
"1400","BOW","1","1","analyzed","gate_rejected","raw_fallback","False","0.01032","0.01032","0.00006","0.00006","0.00000","0.00000","-0.01038","-0.01038"
"2107","BPR","3","3","analyzed","gate_rejected","raw_fallback","False","0.41798","0.41798","-0.17829","-0.17829","0.42075","0.42075","-0.66053","-0.66053"
"1134","BQA","13","12","analyzed","feasible","minimax_ratio","True","0.11491","0.11097","0.12747","0.12310","0.00320","0.00309","-0.24568","-0.23716"
"1238","BQL","3","3","analyzed","gate_rejected","raw_fallback","False","0.15728","0.15728","-0.03625","-0.03625","0.00000","0.00000","-0.12106","-0.12106"
"1775","BRA","27","10","analyzed","feasible","improvement_l2","True","0.11495","0.06479","-0.32097","-0.29352","0.37775","0.31979","-0.17184","-0.09105"
"1546","BRB","11","10","analyzed","feasible","improvement_l2","True","-0.28804","0.09792","-0.36324","-0.33268","1.44345","0.87249","-0.79242","-0.63773"
"2179","BRC","1","1","analyzed","gate_rejected","raw_fallback","False","0.08467","0.08467","-0.02333","-0.02333","0.00000","0.00000","-0.06137","-0.06137"
"1779","BRE","7","7","analyzed","feasible","minimax_ratio","True","0.14775","0.13666","0.14294","0.13221","0.00955","0.00883","-0.30029","-0.27771"
"1786","BRG","4","4","analyzed","feasible","minimax_ratio","True","0.60300","0.60044","-0.43180","-0.42997","0.28539","0.27893","-0.45668","-0.44941"
"1140","BRI","27","27","analyzed","feasible","improvement_l2","True","-1.47280","-0.18638","-0.07124","-0.00060","0.31673","-0.00405","1.22694","0.19103"
"1942","BRL","13","13","analyzed","feasible","minimax_ratio","True","-0.01104","0.01098","0.24707","0.24567","0.28136","0.25790","-0.51748","-0.51454"
"1780","BRM","1","1","analyzed","gate_rejected","raw_fallback","False","-0.15196","-0.15196","0.02537","0.02537","0.23203","0.23203","-0.10545","-0.10545"
"2172","BRN","2","2","analyzed","gate_rejected","raw_fallback","False","0.11461","0.11461","-0.02966","-0.02966","0.02949","0.02949","-0.11446","-0.11446"
"341","BRO","1","1","analyzed","gate_rejected","raw_fallback","False","0.14504","0.14504","-0.05986","-0.05986","0.00000","0.00000","-0.08517","-0.08517"
"1198","BRR","3","3","analyzed","feasible","target_l2","True","0.56841","0.45053","-0.08778","-0.05472","0.01195","-0.00007","-0.49259","-0.39574"
"1869","BRU","10","10","analyzed","feasible","minimax_ratio","True","0.88157","0.85435","-0.69159","-0.67023","0.46953","0.43459","-0.65963","-0.61871"
"2044","BRY","9","9","analyzed","feasible","balanced_l2","True","-0.34612","-0.20590","0.07272","0.02061","0.08758","-0.00006","0.18576","0.18536"
"1985","BRZ","3","3","analyzed","feasible","target_l2","True","0.12782","0.09142","-0.03311","-0.02249","0.02374","-0.00016","-0.11847","-0.06878"
"1188","BSC","1","1","analyzed","gate_rejected","raw_fallback","False","-0.03196","-0.03196","0.05121","0.05121","0.04372","0.04372","-0.06299","-0.06299"
"1938","BSD","4","4","analyzed","feasible","target_l2","True","0.60579","0.56599","-0.12235","-0.11186","0.06239","0.00182","-0.54584","-0.45595"
"1884","BSK","1","1","analyzed","gate_rejected","raw_fallback","False","0.04303","0.04303","-0.02032","-0.02032","-0.00931","-0.00931","-0.01342","-0.01342"
"2303","BSM","6","6","analyzed","feasible","minimax_ratio","True","0.68169","0.67811","-0.26743","-0.24382","0.13934","0.11642","-0.55362","-0.55071"
"1361","BSP","1","1","analyzed","gate_rejected","raw_fallback","False","0.04125","0.04125","0.01993","0.01993","0.00000","0.00000","-0.06118","-0.06118"
"1287","BST","7","7","analyzed","feasible","improvement_l2","True","-0.19955","-0.03905","-0.03136","0.00380","0.03212","0.00056","0.19876","0.03469"
"1398","BTE","1","1","analyzed","gate_rejected","raw_fallback","False","0.00800","0.00800","0.00238","0.00238","0.00000","0.00000","-0.01037","-0.01037"
"908","BTG","9","9","analyzed","feasible","improvement_l2","True","1.17357","1.05598","-0.40206","-0.33660","0.00698","-0.00002","-0.77847","-0.71935"
"1569","BTL","9","9","analyzed","gate_rejected","raw_fallback","False","0.14725","0.14725","0.03672","0.03672","0.00000","0.00000","-0.18401","-0.18401"
"1401","BTN","1","1","analyzed","gate_rejected","raw_fallback","False","0.02316","0.02316","0.00622","0.00622","0.00000","0.00000","-0.02939","-0.02939"
"1433","BTU","6","6","analyzed","gate_rejected","raw_fallback","False","0.02961","0.02961","-0.01507","-0.01507","0.00000","0.00000","-0.01457","-0.01457"
"1836","BUD","1","1","analyzed","gate_rejected","raw_fallback","False","0.11562","0.11562","-0.04768","-0.04768","0.00000","0.00000","-0.06795","-0.06795"
"598","BUG","3","1","analyzed","gate_rejected","raw_fallback","False","0.00060","0.00060","-0.00050","-0.00050","0.00000","0.00000","-0.00012","-0.00012"
"214","BUL","63","60","analyzed","gate_rejected","raw_fallback","False","-1.14490","-1.14490","0.76119","0.76119","0.21516","0.21516","0.16795","0.16795"
"1142","BUR","14","14","analyzed","feasible","balanced_l2","True","2.77861","2.76957","-0.66864","0.03639","0.82965","-0.11511","-2.93989","-2.69085"
"1373","BUS","7","7","analyzed","feasible","improvement_l2","True","0.17476","0.14633","-0.09310","-0.08325","-0.00110","0.00000","-0.08062","-0.06307"
"1319","BWL","1","1","analyzed","gate_rejected","raw_fallback","False","0.03884","0.03884","0.01024","0.01024","0.00170","0.00170","-0.05079","-0.05079"
"2213","BXN","2","1","analyzed","gate_rejected","raw_fallback","False","0.08081","0.08081","-0.03251","-0.03251","0.00000","0.00000","-0.04831","-0.04831"
"1980","BYM","3","3","analyzed","gate_rejected","raw_fallback","False","0.54832","0.54832","-0.17075","-0.17075","0.00000","0.00000","-0.37760","-0.37760"
"203","BYZ","87","58","analyzed","gate_rejected","raw_fallback","False","-6.10555","-6.10555","1.85133","1.85133","2.90801","2.90801","1.34561","1.34561"
"792","BZH","3","3","analyzed","gate_rejected","raw_fallback","False","-0.08924","-0.08924","0.25892","0.25892","0.00000","0.00000","-0.16966","-0.16966"
"1239","BZN","3","3","analyzed","feasible","improvement_l2","True","0.69107","0.69091","-0.31562","-0.31502","0.00304","-0.00003","-0.37850","-0.37586"
"823","BZU","7","5","analyzed","feasible","minimax_ratio","True","0.01780","0.01630","0.07623","0.06982","0.09790","0.08967","-0.19195","-0.17579"
"1356","CAB","2","2","analyzed","gate_rejected","raw_fallback","False","0.05075","0.05075","-0.01289","-0.01289","0.00612","0.00612","-0.04397","-0.04397"
"1197","CAM","1","1","analyzed","gate_rejected","raw_fallback","False","-0.04079","-0.04079","0.11661","0.11661","0.00019","0.00019","-0.07603","-0.07603"
"1252","CAS","244","243","analyzed","feasible","improvement_l2","True","7.27732","6.05661","1.87878","0.89154","10.84172","10.39850","-20.00041","-17.34664"
"1717","CAU","1","1","analyzed","gate_rejected","raw_fallback","False","0.03361","0.03361","-0.01586","-0.01586","0.00000","0.00000","-0.01774","-0.01774"
"76","CAV","1","0","no_valid_locations","","","","","","","","","","",""
"1355","CBH","1","1","analyzed","gate_rejected","raw_fallback","False","0.01325","0.01325","0.00252","0.00252","0.00000","0.00000","-0.01579","-0.01579"
"2112","CBK","9","5","analyzed","gate_rejected","raw_fallback","False","0.13153","0.13153","0.10668","0.10668","0.00615","0.00615","-0.24438","-0.24438"
"1712","CCL","2","2","analyzed","gate_rejected","raw_fallback","False","0.01464","0.01464","-0.01006","-0.01006","0.00000","0.00000","-0.00457","-0.00457"
"1627","CCN","1","1","analyzed","gate_rejected","raw_fallback","False","0.03519","0.03519","-0.01940","-0.01940","0.00000","0.00000","-0.01578","-0.01578"
"1733","CCP","1","1","analyzed","gate_rejected","raw_fallback","False","0.14900","0.14900","-0.10135","-0.10135","0.00000","0.00000","-0.04765","-0.04765"
"1461","CDC","1","1","analyzed","gate_rejected","raw_fallback","False","0.29500","0.29500","-0.09958","-0.09958","0.00171","0.00171","-0.19714","-0.19714"
"272","CDD","1","1","analyzed","gate_rejected","raw_fallback","False","0.27250","0.27250","-0.09340","-0.09340","0.02534","0.02534","-0.20444","-0.20444"
"890","CDL","12","10","analyzed","feasible","minimax_ratio","True","0.47467","0.43487","-0.22149","-0.20292","-0.02726","-0.02491","-0.22599","-0.20704"
"1428","CEB","3","3","analyzed","gate_rejected","raw_fallback","False","0.13639","0.13639","-0.05579","-0.05579","0.00000","0.00000","-0.08064","-0.08064"
"45","CEM","3","3","analyzed","feasible","improvement_l2","True","0.10069","0.09232","-0.04534","-0.02535","0.04780","0.01997","-0.10317","-0.08695"
"199","CEP","2","2","analyzed","gate_rejected","raw_fallback","False","-0.01780","-0.01780","0.00490","0.00490","0.00000","0.00000","0.01287","0.01287"
"259","CER","4","4","analyzed","feasible","improvement_l2","True","0.58225","0.25308","-0.35350","-0.27232","0.00646","-0.00002","-0.23527","0.01925"
